,total,type_A,type_B,type_C,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20,store_21,store_22,store_23,store_24,store_25,store_26,store_27,store_28,store_29,store_30,store_31,store_32,store_33,store_34,store_35,store_36,store_37,store_38,store_39,store_40,store_41,store_42,store_43,store_44,store_45
2012-08-03,49315070.75258069,32022154.900731657,14286218.516593037,2960687.7498117727,1714046.5586227376,1955760.5446559128,454284.223396031,2295772.808352711,348059.3313415834,1659107.8486930404,734375.2060272278,922037.9903226448,586013.5528683581,1929479.1346125829,1466243.7340358908,1019475.1720246233,2173456.8528858186,1713795.0133385325,609577.3259865284,573505.8332361731,964289.2796262986,1045336.8629666856,1401964.7712617863,2253164.831342565,691279.2099103464,1009860.5139821721,1451653.6966002567,1453668.9825493307,697779.6861462817,1141802.4493057977,1752767.1075319324,1473765.782725705,511578.5054384082,437079.9556030126,1422385.0394783332,1220460.3301934376,262118.73227283757,1013878.5311951685,862542.7816850583,300917.91121112043,516612.75415529986,490371.6073257242,1661206.880127714,1083179.967833535,1491927.1858513833,583596.1765117822,615771.3696105153,332197.1937082829,755649.0496657199
2012-08-10,47550077.84200967,30752610.673632536,13859757.516557647,2906031.0730615947,1614801.714677277,1889614.3527679215,420387.2614715685,2235029.4042615434,322125.042169718,1543139.8668160257,703766.0285586503,886708.0743879101,557578.6626754198,1956648.5037807908,1419987.3828656964,986549.1069432033,2070102.703330276,1587330.1449636961,586562.6205964342,536784.5063424511,885924.742067954,966648.11072222,1352248.226970552,2139222.1092515984,706776.1148549763,969271.8320819037,1383239.6596261717,1435163.3830314039,690101.6818279062,1119826.4134605012,1717502.0061717376,1230271.7885955723,480509.39962139184,418503.723009808,1430626.9730119347,1228134.0328822313,294225.36610716966,1006602.2694592848,821400.6044724263,298817.97089891654,508357.21133283776,451357.8773156043,1658662.257451584,978265.0300146092,1447222.652181164,625321.9556694911,619195.445187685,325592.323037155,728941.1822661579
2012-08-17,48217212.43893059,31221323.38595612,14088932.8537006,2904027.66243282,1620403.1883719636,1923529.161697976,421490.6268160303,2363249.981777573,334199.92773769243,1551284.205972959,681131.0844136499,924339.0781548782,577878.6871200921,1992906.358146939,1547684.7047962062,997863.3566292794,2190169.8760975385,1562751.068324256,601295.9840397028,530366.459329878,873197.6239547022,993879.0175525771,1382604.6413957295,2074940.2283047636,744672.4841181658,998129.3964872524,1466731.4940503493,1386050.72328148,713526.3360774532,1054619.3590303806,1760755.2679234191,1215068.1043978133,508031.14838358125,420320.61976669903,1475524.8235242981,1242713.7107277324,262284.8717187937,1024301.5702593739,803081.856094303,294830.2088793004,512877.9813812894,421351.53793087543,1773539.0150407113,964344.1970832124,1503286.6837308595,560166.7352709615,647719.7273125409,325348.8772582336,722698.3598624449
2012-08-24,48700524.440741695,31041021.188958894,14837616.289494049,2806541.353301958,1554377.0873864975,1895102.498738611,411563.6820492781,2118418.8328288603,340152.1915753972,1477786.1553337476,662625.6970316346,941810.8925081168,577686.2923685411,1764948.9357401077,1370064.3209213328,1048868.4967898622,2135671.077590329,1897103.6196874452,607515.901530209,547016.4749891253,918330.3655635936,1091222.6427151593,1538241.3893842406,2020389.3726295815,738037.954392108,1064108.126844121,1603757.2168340147,1433598.770568367,748698.2109046812,1096965.2672850918,1863989.4780643294,1171861.9726355535,609678.003330928,393530.78688341763,1408778.8151069977,1205211.1355483446,256588.1922741076,912479.6649438837,787278.2860789911,281155.7677045857,533906.2139956767,434474.48167612986,1718390.7147025347,992611.3153560036,1420101.6000538224,546209.5460667671,588154.02589706,355110.9109690148,743168.7200876165
2012-08-31,46692912.5074349,30288218.458457295,13507467.500377692,2858941.48648305,1639995.7012404916,1886875.7894461919,420339.35295694467,2208361.305020033,348188.72980335884,1538942.5445045766,629679.2266001696,921205.1043415613,578616.0178077441,1795560.527426592,1363144.308497781,1084939.6696365376,2052664.258169596,1445611.271607402,610558.9510067562,547849.0434102074,919288.8244757508,854218.2766820546,1600521.5844726858,2226322.5183280576,667336.1294090933,1011266.8875904578,1454154.2585091274,1235560.9879843458,722193.8598336722,1073019.8764445882,1613494.7956130886,1400456.5041137724,511265.24895916984,374331.7279520939,1378383.430004423,1173660.4545369057,258412.03400149228,996357.7084944445,769606.2181096722,284246.2976647724,536380.0588391633,449070.4605772002,1610123.3421436523,977183.0798702514,1374193.4762162687,561513.6704838397,610867.002784276,342528.0649942653,771034.0366061213
2012-09-07,48050488.29245937,31021237.634288818,14049331.011831637,2937528.043441333,1629855.8195518188,1825599.5368486075,419534.6788537005,2223432.775183501,351255.41809480515,1538714.589322999,645465.3838563936,877793.4601730844,567383.4650054567,1709630.47001812,1314155.3473740048,953840.1475669135,1972978.7871471697,1850816.1208614132,603976.0197462374,543068.219081829,1194329.4214014902,963511.2179924508,1557474.7473134531,2134053.7079860363,636875.1409595923,946092.5156220284,1378890.4050729123,1558558.1711410743,695581.4623567491,1102430.533451021,1816663.519993615,1337264.6061098618,511239.086577933,375786.47457927256,1372005.2576664693,1150026.100216923,301055.63872682623,982322.5454223785,812083.8975852376,285559.4100192363,511898.9449469527,469533.4517161255,1573947.3387477293,1044669.2524870718,1371812.483571553,628346.6808230324,644396.1335007568,329342.5681094444,733159.201712215
2012-09-14,45085064.53628447,29102936.388864078,13028747.553910675,2925811.6427752413,1602798.3147747985,1769988.868882826,419555.6837136842,2205655.842090026,311656.74385537865,1407017.6412600288,593913.278026014,900092.1809465021,538551.5186070236,1690729.7516042553,1334480.096273858,919549.7583867769,2023796.4737253995,1525278.152793677,558477.36056124,521579.6736584763,1173139.7263438592,919873.7731294894,1356334.165634467,2062859.8218761033,640028.040247659,931541.6438312975,1255778.5811260927,1262454.9500759097,651995.3712286174,984299.2410993493,1572230.9143764412,1178259.230148952,480365.20005194144,387817.69378549524,1358592.3890436208,1164282.6376273301,281780.8144473794,956747.1602040587,701341.3938100728,281976.1307576279,519191.26518756157,486118.66318198934,1517546.3215550228,913057.2293926334,1287630.0991413782,611453.9626967439,631113.2546907739,336018.05757633783,726616.4968841603
2012-09-21,44002708.620118156,28294471.95956055,12832846.50698078,2874387.803666578,1469500.1540887589,1744537.9744747276,409698.8048280713,2161672.9334885613,323571.15429407783,1391228.6618421238,577076.4082881007,835644.2286385093,550082.5803471057,1720964.9432946965,1299170.4919848614,902684.168603842,1948183.7953902767,1524335.3359215476,538560.0557988863,501818.1340105279,975064.475763483,910130.1853812049,1291021.8139285059,1967352.236884051,643290.7374730855,913794.0632107554,1246375.3792661661,1263352.6252134237,643559.5687667268,956213.0251391912,1557422.2504090758,1136003.9069921873,481929.5639834159,397376.8092492766,1334061.6523499917,1137639.1260669276,253921.65256476265,934889.6616101428,663418.8746960739,271406.69707232073,522540.7625413318,468291.9626146135,1483419.5551806632,898822.3012041041,1263416.5308029861,565979.3019920087,597727.5327798108,339109.90759923856,704357.9671352822
2012-09-28,43494283.6957345,28051544.325152006,12652471.83405358,2726525.052310712,1485491.1743433282,1734363.6974704908,412875.3521653901,2059195.182815119,323694.772731454,1364751.556988807,532475.3322705665,838717.842479784,537624.6185054776,1665181.9645611923,1255546.118945762,897582.4925451395,1935219.535637214,1466915.1003381896,544510.0643127844,461555.31331036525,947800.6779441151,907481.8315909667,1321929.6856123384,2030925.176737242,637329.2810116044,927698.994581869,1253396.3273708767,1278366.3967142056,663294.4851095694,992018.7062653288,1536305.1033548303,1100641.4306723387,456156.0787409356,392510.39286048885,1280015.3392149077,1110322.996556409,248887.24764501659,917687.7885485577,683348.613560923,268205.14863984514,521884.4062052813,376884.8979765958,1457226.5800729033,934621.3356283316,1250861.6132012354,545151.0058092199,585235.086849342,334048.1654797444,709479.3129439026
2012-10-05,48489294.18508059,31577849.034454975,13771284.53908349,3142194.6924253753,1718868.2249662108,1909305.0472535586,447522.5906056611,2296980.871073349,339053.4393112533,1535349.7024592275,567569.4710394762,958612.120480233,591240.5345410375,1824027.3407960383,1409935.604026097,981653.386401307,2168782.7313516424,1730262.8450598794,569724.1042752343,471147.0101877321,1013696.804851317,1015107.4421012433,1451495.9215952896,2216763.4987822874,641381.6011354703,993565.7287878193,1358693.1796797072,1437439.1139819922,694789.5088356409,1162117.4686444702,1627604.3407741354,1624898.7265620446,523322.7082329541,423105.0759631075,1412321.8585379417,1171035.1149414077,280983.6724672643,994356.2864437009,735247.1449550553,282885.1468998946,528459.1949678918,532812.4664228377,1588373.6301623741,1095686.5730472456,1368816.6902728782,679636.0260740495,639202.8058800851,343254.15781058284,748193.4292109492
