Store,Date,Weekly_Sales,Type,forecast
1,2012-08-03,1631135.79,A,1624383.75
1,2012-08-10,1592409.97,A,1525147.09
1,2012-08-17,1597868.05,A,1530761.43
1,2012-08-24,1494122.38,A,1464693.46
1,2012-08-31,1582083.4,A,1550229.22
1,2012-09-07,1661767.33,A,1540471.24
1,2012-09-14,1517428.87,A,1514259.78
1,2012-09-21,1506126.06,A,1380020.27
1,2012-09-28,1437059.26,A,1394561.83
1,2012-10-05,1670785.97,A,1630989.95
1,2012-10-12,1573072.81,A,1493525.93
1,2012-10-19,1508068.77,A,1502562.78
1,2012-10-26,1493659.74,A,1445249.09
2,2012-08-03,1946104.6400000001,A,1876704.26
2,2012-08-10,1866719.96,A,1812768.26
2,2012-08-17,1928016.01,A,1844094.59
2,2012-08-24,1876788.15,A,1821139.91
2,2012-08-31,1947083.3,A,1809119.7
2,2012-09-07,1898777.07,A,1748000.65
2,2012-09-14,1814806.6300000001,A,1691439.52
2,2012-09-21,1829415.67,A,1669299.78
2,2012-09-28,1746470.56,A,1650394.44
2,2012-10-05,1998321.04,A,1837553.43
2,2012-10-12,1900745.13,A,1743882.19
2,2012-10-19,1847990.41,A,1834680.25
2,2012-10-26,1834458.35,A,1769296.25
3,2012-08-03,419990.29000000004,B,409981.25
3,2012-08-10,391811.6,B,380376.85
3,2012-08-17,394918.83,B,379716.91000000003
3,2012-08-24,412449.67,B,366367.55
3,2012-08-31,408838.73,B,375988.69
3,2012-09-07,408229.73000000004,B,377347.49
3,2012-09-14,407589.16,B,375629.51
3,2012-09-21,414392.09,B,365248.94
3,2012-09-28,389813.02,B,368477.93
3,2012-10-05,443557.65,B,403342.4
3,2012-10-12,410804.39,B,368282.57
3,2012-10-19,424513.08,B,394976.36
3,2012-10-26,405432.7,B,389540.62
4,2012-08-03,2174514.13,A,2160057.39
4,2012-08-10,2193367.69,A,2105668.7399999998
4,2012-08-17,2283540.3,A,2232892.1
4,2012-08-24,2125241.68,A,1988490.21
4,2012-08-31,2081181.35,A,2078420.31
4,2012-09-07,2125104.7199999997,A,2093139.01
4,2012-09-14,2117854.6,A,2075577.33
4,2012-09-21,2119438.5300000003,A,2031406.41
4,2012-09-28,2027620.23,A,1929486.6300000001
4,2012-10-05,2209835.43,A,2166737.65
4,2012-10-12,2133026.07,A,2074548.8499999999
4,2012-10-19,2097266.85,A,2207742.13
