Type,Date,Weekly_Sales,forecast
A,2012-08-03,30653492.96,31276467.85
A,2012-08-10,30781009.58,30007082.21
A,2012-08-17,30752773.68,30475867.78
A,2012-08-24,30124126.86,30296593.4
A,2012-08-31,30255907.48,29541696.72
A,2012-09-07,31179614.88,30276540.33
A,2012-09-14,28417696.69,28357975.98
A,2012-09-21,28604270.03,27549909.13
A,2012-09-28,27984906.58,27305939.08
A,2012-10-05,30868573.38,30833944.9
A,2012-10-12,29791614.12,28871154.06
A,2012-10-19,28851600.490000002,29505873.63
A,2012-10-26,29128295.31,29389812.85
B,2012-08-03,13886150.57,13882141.209999999
B,2012-08-10,13700134.56,13450740.41
B,2012-08-17,13713228.91,13676959.31
B,2012-08-24,14506049.42,14449321.61
B,2012-08-31,14063957.85,13076989.709999999
B,2012-09-07,14079808.84,13658413.54
B,2012-09-14,12865311.25,12631850.12
B,2012-09-21,12910290.16,12443124.11
B,2012-09-28,12959082.84,12254483.4
B,2012-10-05,13673545.24,13383364.85
B,2012-10-12,13373629.71,12681340.01
B,2012-10-19,13363404.25,13520755.6
B,2012-10-26,13560940.97,13749509.37
C,2012-08-03,2946256.0300000003,2856857.91
C,2012-08-10,2922306.9,2791746.59
C,2012-08-17,2888449.46,2764520.5300000003
C,2012-08-24,2817147.32,2671033.44
C,2012-08-31,2839774.1,2757936.8400000003
C,2012-09-07,3070635.5900000003,2828273.66
C,2012-09-14,2943030.71,2804133.98
C,2012-09-21,2839986.92,2725063.49
C,2012-09-28,2790909.98,2635408.33
C,2012-10-05,3024520.69,2994378.61
C,2012-10-12,2963270.42,2822326.23
C,2012-10-19,2907405.83,2792324.21
C,2012-10-26,2854880.0100000002,2716498.83
