,actual,fc_base,fc_mint,order_base,order_mint,order_diff
2012-08-03,47485899.56,49315070.75258069,49102479.1032485,50747731.667075045,50535140.01774286,-212591.64933218807
2012-08-10,47403451.04,47550077.84200967,47317002.170552924,48986357.01027647,48753281.33881972,-233075.67145674676
2012-08-17,47354452.05,48217212.43893059,48015088.43023271,49657015.427858405,49454891.41916052,-202124.0086978823
2012-08-24,47447323.6,48700524.440741695,48081413.29834231,50143842.56989473,49524731.427495345,-619111.1423993856
2012-08-31,47159639.43,46692912.5074349,46769314.16329846,48139737.23654175,48216138.89240531,76401.65586356074
2012-09-07,48330059.31,48050488.29245937,47616454.199965596,49500811.14326474,49066777.05077097,-434034.0924937725
2012-09-14,44226038.65,45085064.53628447,44975351.02520066,46538877.09173353,46429163.58064972,-109713.51108381152
2012-09-21,44354547.11,44002708.620118156,43792765.49991256,45460002.523623705,45250059.40341811,-209943.1202055961
2012-09-28,43734899.4,43494283.6957345,43250427.37769061,44955050.65045641,44711194.332412526,-243856.31804388762
2012-10-05,47566639.31,48489294.18508059,48217667.35839666,49953525.95321725,49681899.12653332,-271626.82668393105
2012-10-12,46128514.25,45660910.15589829,45462291.850735985,47128598.557989724,46929980.25282742,-198618.30516230315
2012-10-19,45122410.57,47090065.549640015,46647340.36405155,48561202.46388247,48118477.278294004,-442725.18558846414
2012-10-26,45544116.29,47131876.76181572,46601236.71407214,48606454.12338746,48075814.07564388,-530640.0477435812
