,forecast,se,order,buffer
2012-08-03,49315071.0,2124066.0,50747732.0,1432661.0
2012-08-10,47550078.0,2129431.0,48986357.0,1436279.0
2012-08-17,48217212.0,2134655.0,49657015.0,1439803.0
2012-08-24,48700524.0,2139867.0,50143843.0,1443318.0
2012-08-31,46692913.0,2145066.0,48139737.0,1446825.0
2012-09-07,48050488.0,2150252.0,49500811.0,1450323.0
2012-09-14,45085065.0,2155426.0,46538877.0,1453813.0
2012-09-21,44002709.0,2160587.0,45460003.0,1457294.0
2012-09-28,43494284.0,2165736.0,44955051.0,1460767.0
2012-10-05,48489294.0,2170873.0,49953526.0,1464232.0
2012-10-12,45660910.0,2175998.0,47128599.0,1467688.0
2012-10-19,47090066.0,2181111.0,48561202.0,1471137.0
2012-10-26,47131877.0,2186212.0,48606454.0,1474577.0
