,total,type_A,type_B,type_C,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20,store_21,store_22,store_23,store_24,store_25,store_26,store_27,store_28,store_29,store_30,store_31,store_32,store_33,store_34,store_35,store_36,store_37,store_38,store_39,store_40,store_41,store_42,store_43,store_44,store_45
2012-08-03,49070469.149669915,31847423.408075064,14247977.602044174,2975068.1395506784,1714839.4315798627,1957059.0329227864,454322.1669419545,2296792.283985502,348082.5168203254,1660157.8828384464,734413.080722357,922255.0926358831,586047.1555564089,1930421.32480489,1466986.6193234453,1019624.3280501519,2175066.121068988,1714387.9472869309,609671.7879107625,573547.6531407385,964743.7400168026,1045519.445250089,1402781.435679541,2254221.5160674616,691380.642244613,1010071.8716758422,1452017.035385805,1454384.5817506178,697931.8855019547,1142218.3121077148,1753213.4194104963,1474927.2388534131,511666.3158720332,437038.0204047409,1422577.7773099632,1220771.9217500691,262134.95894274805,1013954.417169541,862741.6058251734,300944.2460992607,516464.52959990135,490329.37019463704,1661691.0096094152,1083653.579749001,1492404.5819339836,583422.3404994784,615670.4373908736,332143.4414610467,755775.0463242752
2012-08-10,47256600.60903188,30597492.277577106,13712507.851037702,2946600.4804170975,1615594.2816558862,1890912.3399336918,420496.14834170195,2236048.4864673177,322191.5777069574,1544189.4957415469,703874.7178471573,886925.0929189454,557675.0925540946,1959352.313838963,1420729.9814655352,986977.1410761782,2071711.3504789115,1587922.850092271,586833.6986685084,536904.5172272166,887228.9103610617,967172.0684309101,1353064.5762284016,2140278.3861900773,707067.1959634977,969878.3667950463,1384282.3355857686,1435878.7060749799,690538.4494275653,1120242.1157763263,1717948.1458135701,1231432.7965044102,480761.3898624134,418374.5304773786,1430819.6364638864,1228445.5041922068,294241.58651502745,1006678.1261484136,821971.1715556321,298844.2956241298,507900.5661643545,451227.75459882687,1659146.2001023204,978738.4591579562,1447699.8640312927,624786.4075957357,618884.4966385749,325426.72494222695,729302.7557950261
2012-08-17,47966476.37628095,31109178.406529244,13968721.252819154,2888576.716932552,1621020.992630895,1924540.9399081387,421580.15968522814,2364044.354169966,334254.6369744019,1552102.389467838,681220.4548201939,924508.2436340855,577957.9771548186,1995129.5818650739,1548263.558811121,998215.3102118637,2191423.813097647,1563213.0806999998,601518.8795783449,530465.138985514,874269.984001931,994309.844859303,1383240.9838902897,2075763.5939114757,744911.8272711396,998628.1232214234,1467588.8404888315,1386608.3160588224,713885.4708043694,1054943.398093445,1761103.0328167863,1215973.1075711616,508238.34884090803,420379.77415385924,1475675.0042716274,1242956.5019454225,262297.51549190894,1024360.7003857567,803551.0082332769,294850.7289461098,513087.06904745195,421411.1182287599,1773916.247298391,964713.2340844448,1503658.6693439104,560411.9508225265,647862.1037372074,325424.7009427466,722995.6658225291
2012-08-24,47889826.495170176,30742652.791513752,14297444.374884296,2849729.3287721355,1556187.645026204,1898067.6494989286,411947.860817268,2120746.846893225,340386.94477101136,1480183.9510043326,663009.1786846673,942306.6544688436,578026.5199087517,1774488.620513441,1371760.729684829,1050378.7029851782,2139345.9069273514,1898457.60847022,608472.3294230395,547439.9019257071,922931.7813953094,1093071.2900934601,1540106.2757917738,2022802.3551688779,739064.9577536691,1066248.125528561,1607436.0255377635,1435232.8704442873,750239.2308470269,1097914.9069042949,1865008.6493882635,1174514.2049336908,610567.084817269,393406.93372141384,1409218.9397831922,1205922.6675387572,256625.24653470478,912652.9536522604,789291.3824129483,281215.9044925601,533468.4414172862,434349.73677316704,1719496.2440610833,993692.8274243588,1421191.7534217108,545696.1315443303,587855.9284737525,354952.1568421859,744444.4374692272
2012-08-31,46817671.22913602,30257743.691516902,13685962.207136903,2873965.3304822114,1639939.4560534605,1886783.6766874306,420220.6204590342,2208288.9849880217,348116.1780758035,1538868.056698722,629560.7095493557,921189.7034376668,578510.8686712667,1792612.2369514483,1363091.6093590783,1084472.9323546512,2052550.0991619865,1445569.2097858633,610263.361863761,547718.1810563974,917866.7323635733,853646.9423469226,1600463.6515560616,2226247.558740332,667018.7285409536,1010605.5095797522,1453017.3030521239,1235510.224478599,721717.5993988698,1072990.3757775987,1613463.1349354743,1400374.1122040157,510990.4735824058,374277.4766586043,1378369.7574793478,1173638.350711541,258410.88290650805,996352.3252602408,768984.05994743,284244.4295083476,536188.3016950763,449015.8186751891,1610088.998743489,977149.4825700454,1374159.6104730722,561288.7799643892,610736.4274276298,342458.5260613229,770639.769343152
2012-09-07,47488435.15796438,30841928.50152839,13687947.702980584,2958558.9534553895,1631030.8745418836,1827523.9247392751,419792.83022019645,2224943.6602739724,351413.1619976091,1540270.7627946897,645723.0667920603,878115.2105294728,567612.0830649203,1716040.7218731665,1315256.319549108,954854.9402246425,1975363.7576421204,1851694.8618861665,604618.6975516267,543352.7435048252,1197421.372034235,964753.4283555443,1558685.0617663148,2135619.737761371,637565.2424000499,947530.5013482521,1381362.403978315,1559618.704742079,696616.9605077672,1103046.8511803425,1817324.9639176615,1338985.9093859303,511836.5105371643,375730.7545846438,1372290.899330491,1150487.8856898563,301079.6870050269,982435.0100890835,813436.6104699661,285598.4388969953,511701.99651768495,469477.33053834864,1574664.8291832379,1045371.1556603627,1372519.99496295,628115.702025482,644262.0231836943,329271.1466055355,734016.4281202452
2012-09-14,44961907.988006555,28957173.381620895,13034965.61079943,2969768.9955862216,1603365.7466792634,1770918.152273784,419558.8663298887,2206385.4457354397,311658.6885993017,1407769.1145818597,593916.4548671742,900247.5536048297,538554.3371221861,1690808.7803218053,1335011.7537225408,919562.2692465889,2024948.1716131421,1525702.4952265183,558485.2838073004,521583.1814146098,1173177.8454222921,919889.0877059118,1356918.6242689937,2063616.0547889282,640036.548155468,931559.3720220721,1255809.0571366611,1262967.0798111595,652008.1373558693,984596.8598030362,1572550.3244369843,1179090.444351145,480372.565386471,387672.36418538983,1358730.3248804803,1164505.6329871863,281792.42731691635,956801.4691858108,701358.0707155849,281994.9777312786,518677.58178436535,485972.28721088386,1517892.796373391,913396.1771506,1287971.755097606,610851.5208532981,630763.4664526627,335831.77509962197,726627.0651902441
2012-09-21,43741085.03495596,28136688.469187003,12713998.700821757,2890397.8649472017,1470263.4677989949,1745788.0535545815,409788.110189425,2162654.40185719,323625.7245116693,1392239.5494656728,577165.5515996264,835853.2371192871,550161.6689015824,1723182.5176815903,1299885.6816253045,903035.2278534116,1949733.068141505,1524906.1645871098,538782.3849479564,501916.5629158424,976134.1108860594,910559.9179325338,1291808.0321254206,1968369.5271455767,643529.4724422132,914291.5226534266,1247230.5471411597,1264041.5460253493,643917.7909129543,956613.3840812234,1557851.9232499602,1137122.062654012,482136.23793321784,397329.82804251986,1334247.2046860151,1137939.1011197185,253937.27428511897,934962.7184651314,663886.8346941877,271432.0501645082,522374.7023157789,468244.64314385375,1483885.6357394601,899278.2563040449,1263876.1289918092,565784.5485158738,597614.4555159648,339049.6874132105,704654.5176249048
2012-09-28,43204811.4985986,27882819.844220098,12567439.66345601,2754551.9909224883,1486318.696626531,1735718.9309485112,412945.1190182513,2060259.2105332206,323737.40390480787,1365847.4786565073,532544.972527372,838944.4323770999,537686.4038166787,1666914.3710328045,1256321.4690491925,897856.7459453719,1936899.1304187665,1467533.9460818316,544683.7515897267,461632.2076294773,948636.294922543,907817.5458999812,1322782.0390663408,2032028.039621281,637515.7847915728,928087.6182794285,1254064.398922257,1279113.2683026297,663574.3342853471,992452.7426796732,1536770.919500342,1101853.6435722786,456317.53591245913,392423.5223075621,1280216.4998788657,1110648.2049697528,248904.18343632156,917766.9908144585,683714.1917954029,268232.63438843307,521577.35271285824,376797.40195695584,1457731.8664879114,935115.6448491421,1251359.871960996,544790.8970907739,585026.0014487774,333936.81540556066,709710.9831825283
2012-10-05,48133346.22269635,31456413.834904797,13530522.69823255,3146409.689558995,1719635.322829473,1910561.323641897,447693.51477030275,2297967.2051039534,339157.88285993575,1536365.601591685,567740.0850521737,958822.1651274842,591391.9044577117,1828271.621809685,1410654.3392428933,982325.2890515275,2170339.6846739003,1730836.5036274763,570149.6265899558,471335.39617220656,1015744.0110551361,1015929.9199037157,1452286.0374949833,2217785.8322940124,641838.5230329955,994517.8310848454,1360329.910693903,1438131.4501416837,695475.1207650024,1162519.812379231,1628036.1437323743,1626022.4255176343,523718.26760013663,423100.5874463923,1412508.3307558228,1171336.5771304686,280999.3716328172,994429.7054804702,736142.7873952272,282910.62568087725,528443.3298135129,532807.9455888678,1588842.0213309939,1096144.7885597113,1369278.56693496,679617.4196079045,639192.0026414302,343248.40446088766,748761.0059380844
