,total,type_A,type_B,type_C,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20,store_21,store_22,store_23,store_24,store_25,store_26,store_27,store_28,store_29,store_30,store_31,store_32,store_33,store_34,store_35,store_36,store_37,store_38,store_39,store_40,store_41,store_42,store_43,store_44,store_45
2012-08-03,49102479.1032485,31862926.7609839,14263984.66404658,2975567.6782180173,1714924.052278143,1957017.015634302,454331.6623747821,2296541.3455653656,348091.3094898768,1659933.0271783986,734568.9065564178,922287.5188925068,586165.7832480317,1930594.0728662407,1466970.3267313396,1019779.2323889448,2174989.164162721,1717887.2035145403,610876.0185270887,573819.4871053699,966647.3050615364,1047371.2648773559,1402822.5640630221,2255710.198758481,692307.9482743219,1012660.6898518181,1454901.2049418348,1454643.1736830103,697907.9967034684,1142071.69727487,1756341.4131534307,1480992.1176012857,511745.93889580615,437075.5898676028,1422873.024931959,1220750.777171038,262136.83259033543,1014790.8820908505,864767.8548582158,301110.56914112804,516609.95112708333,490360.482650204,1662041.775603197,1083563.8290408268,1492528.2519231506,583573.2810125845,615752.6521754172,332195.72138512594,757447.988025472
2012-08-10,47317002.170552924,30611863.38499603,13757729.000464484,2947409.785092425,1615645.364888398,1890822.3637884646,420521.6364024244,2235768.3002953967,322215.6229869897,1543933.2195646153,704314.7017363162,886947.979063401,558009.8681372863,1959806.6609479135,1420685.952111341,987410.3837140639,2071575.915956145,1591264.506294599,590241.2773663512,537672.9575295448,892604.0491095076,972410.7266822628,1353072.9361560873,2141669.3061567773,709690.1035235167,977203.5677299624,1392438.5024415415,1436100.0012628166,690465.1323638147,1120085.276991369,1720938.4568783795,1237219.4159725525,480983.6690903622,418438.3742546413,1431096.1376930005,1228413.2778117682,294242.76832607377,1007479.4325259556,827703.312955271,299003.1983388235,508315.25404787844,451191.3569865731,1659464.9524224445,978634.0863451916,1447800.536152428,624979.2431065197,618915.2722113548,325570.2844854582,734036.8277473517
2012-08-17,48015088.43023271,31120383.261732925,14005977.71749426,2888727.4510055417,1621060.8894799363,1924470.9147802133,421601.2976032979,2363826.0175963715,334274.52982526156,1551902.695691661,681582.9699858933,924526.1053953118,578233.8266363323,1995507.4068527885,1548229.302261837,998572.7015768794,2191318.3776489384,1565818.2563275124,604325.7146466095,531098.1850446262,878698.6810639749,998625.0906553386,1383247.5762731591,2076848.0380756184,747072.4363859213,1004661.9500147622,1474307.63321445,1386780.9013107466,713825.6728412806,1054821.1664012796,1763434.289877607,1220484.4039060436,508421.75528602797,420387.6202263692,1475890.5795289674,1242931.4072293518,262298.4383113264,1024985.397648043,808272.7477678735,294974.6103040232,512920.9991460749,421522.2670987238,1774164.787860701,964631.909637928,1503737.196186341,560518.1099711421,648006.981723944,325371.47283928795,726895.1180929412
2012-08-24,48081413.29834231,30773513.50843907,14456736.346969858,2851163.4429333927,1556245.766746703,1897778.2347619415,412037.1503413957,2120055.4824137203,340471.35188736266,1479543.426163657,664558.9397183887,942342.27969868,579205.6391118751,1776076.6607601955,1371611.6469502987,1051903.194103884,2138934.233328174,1905818.2027192845,620477.6000185147,550146.9209994348,941864.8156083575,1111527.143855032,1540068.1145042775,2025809.8967837617,748305.3549359248,1092055.492523851,1636169.217863629,1435673.3734480443,749978.8240622829,1097538.648208684,1871601.1925204024,1187250.91903847,611349.0855338868,393514.9593300448,1409818.0116181683,1205829.6611284814,256626.73806815755,914422.5750464514,809485.7960816587,281566.0451979529,533896.0518867678,434434.15023617086,1720168.6784899114,993428.7725659006,1421381.6090379474,546126.5406389189,588086.1676383195,355105.5732031715,761123.1595641819
2012-08-31,46769314.16329846,30258379.878117256,13636915.086806549,2874019.1983746532,1639985.0960015487,1886860.6039518365,420193.47593050654,2208352.01661011,348090.39553675294,1538932.5715378728,629083.5886256284,921202.0885817426,578147.9024371149,1792132.04137172,1363135.527022152,1084004.670128273,2052645.738916349,1445561.8140935462,606565.4121266699,546884.5434362683,912037.7885594303,847962.3978853066,1600511.2173349115,2226291.7554507647,664172.7119521803,1002656.2188930879,1444168.0220286266,1235549.2140761402,721799.2990097307,1073016.6223594684,1613451.5971638002,1400369.1678606016,510750.3834301379,374283.94516140956,1378377.5322952997,1173656.9442441778,258411.81524413623,996346.6819768284,762764.0164718574,284243.96923382656,536349.3798130705,448948.7014709028,1610113.2517390596,977178.4405890442,1374186.2118340447,561263.0802068022,610662.1412433152,342511.9504791531,765502.2189832607
2012-09-07,47616454.199965596,30861907.99303507,13795080.502467016,2959465.7044635084,1631067.13300531,1827333.999759727,419853.06440071954,2224493.682529623,351470.03865589335,1539853.685651149,646765.4002262118,878137.915442752,568405.1554798582,1717113.3508711357,1315158.3534946577,955880.841274279,1975094.0266742182,1856465.0791004924,612692.163006932,545173.2993628079,1210155.2515067721,977165.0567182737,1558658.865231622,2137567.3946958883,643779.4933587458,964885.8275667031,1400685.9779752435,1559902.9681310335,696442.6155268572,1102802.2098560338,1821597.577874877,1347240.01345361,512362.8121370893,375797.9582284994,1372678.8845826802,1150427.0402457498,301080.62484263745,983581.9766529482,827017.4218313998,285825.3596829206,511906.3180444471,469562.71411053336,1575099.8486439337,1045199.1437766576,1372642.209706533,628406.9052427447,644445.3679226651,329346.440914619,745232.732568098
2012-09-14,44975351.02520066,28968527.546183392,13036396.960817976,2970426.5181992818,1603434.0101639035,1770899.1122818354,419559.8814639027,2206212.6045913044,311659.5735174524,1407615.4372157024,593930.4180754031,900272.95052852,538564.9890721636,1690828.409552238,1335006.4723033705,919576.6638871564,2024906.5480916353,1528242.7171642606,558592.2784418416,521607.42806282145,1173348.3818007584,920053.7919935123,1356955.5888495455,2064703.799117316,640119.0705945572,931789.4240149836,1256065.9445814104,1263160.697414334,652006.7250916995,984494.2962902458,1574820.300167257,1183494.3081831196,480380.01579736645,387726.1964043069,1358945.9073863565,1164493.0503218297,281793.92712153244,957408.107726651,701538.2846716568,282115.70072149707,519132.5191305668,485885.5114718746,1518151.1569300476,913335.3155053116,1288065.538107821,610974.1172592562,630720.9734063245,335987.2005269527,726775.6801990555
2012-09-21,43792765.49991256,28150754.401391257,12751107.309782743,2890903.788738577,1470319.3666243076,1745710.9935270122,409809.0632956919,2162390.426218865,323645.4784410343,1391999.0338614606,577526.6102968284,835877.1840919752,550436.3967409243,1723556.3014262654,1299848.8260567756,903390.8707866641,1949614.3340598934,1528155.7321937985,541578.4987165519,502547.13357778976,980545.0379076228,914858.5763183706,1291822.6340955207,1969728.5468229908,645681.7483797409,920302.278787556,1253923.292453891,1264262.1128020966,643857.7903091676,956464.3902745135,1560759.1588334,1142750.285247667,482318.715624685,397368.0969371376,1334517.2269268713,1137910.2822211597,253938.55070060704,935741.4162478632,668590.4269696447,271586.5591036449,522535.16878576385,468269.76208332105,1484198.9988098855,899180.6672287324,1263977.6754422113,565933.6114686785,597690.1800495796,339106.9694140968,708539.0897503151
2012-09-28,43250427.37769061,27898559.644286122,12596620.08137714,2755247.652027356,1486393.894249404,1735656.289566868,412961.95763049525,2059985.813990797,323753.15262240154,1365600.4577645669,532828.9554906113,838974.5445149057,537902.5330639668,1667217.4161784854,1256293.5997802387,898137.5906936531,1936795.89790883,1471124.9330914768,546880.9811087385,462127.9255364069,952105.5321995207,911195.8728355943,1322812.1383026731,2033543.7185585634,639207.3645376244,932811.0467371116,1259325.0378482048,1279368.5939646093,663528.7312037227,992295.6945943669,1539982.1633712167,1108075.50874227,456461.7483154896,392477.2257145433,1280517.353309425,1110621.7933245958,248905.8683117427,918626.3677733582,687410.7477410346,268403.3451138708,521863.11117999465,376800.38215006184,1458085.477183518,935016.2321051983,1251479.9587636318,544977.0652717996,585092.8876908083,334036.9800201486,712763.4876340744
2012-10-05,48217667.35839666,31469387.062762283,13601402.249364575,3146878.046269827,1719656.9178341627,1910434.3656176745,447733.2632985598,2297671.633695556,339195.45169837103,1536091.3743587122,568429.6795257166,958836.3972054133,591916.5774254159,1828978.6919949383,1410588.6668411691,983003.6940479241,2170159.97546974,1733940.9129139793,575491.4934975593,472539.92181865923,1024168.6063412206,1024142.0575217794,1452266.9073002555,2219051.279571226,645950.1455504735,1006001.0848300131,1373115.1032864659,1438314.71871648,695359.3257103185,1162359.4692009534,1630816.9330637695,1631393.7692813831,524066.26676393405,423134.1188310064,1412760.4607370212,1171296.1692046956,280999.941065026,995176.309061599,745128.5161318047,283058.3081921906,528477.841993093,532886.4728504461,1589124.035709973,1096031.588187366,1369356.929533927,679788.3374022195,639327.3228157124,343263.95237734995,756182.3699214166
