,total,type_A,type_B,type_C,store_1,store_2,store_3,store_4,store_5,store_6,store_7,store_8,store_9,store_10,store_11,store_12,store_13,store_14,store_15,store_16,store_17,store_18,store_19,store_20,store_21,store_22,store_23,store_24,store_25,store_26,store_27,store_28,store_29,store_30,store_31,store_32,store_33,store_34,store_35,store_36,store_37,store_38,store_39,store_40,store_41,store_42,store_43,store_44,store_45
2012-08-03,49300599.39304384,32027791.63389982,14297581.514428891,2975226.244715125,1722881.1849914056,1964595.171024755,457392.585096662,2304607.4347215034,351167.693042579,1667942.4750617433,737483.5677281647,930872.6166913479,589121.9145692257,1932587.4963134173,1475078.3604045534,1022583.5337253786,2182291.4792546188,1722629.6397072522,612685.687687417,576614.1949370481,967397.6413271276,1048445.2246675949,1410799.3976304608,2261999.457711308,694387.5716112027,1012968.8756830437,1454762.058301129,1462503.6089180952,700888.0478470926,1150637.0756745222,1761601.733900599,1482600.4090944356,514686.86713926995,437012.8202364134,1431219.6658470493,1229294.9565621626,270953.3586415397,1022713.1575638624,865651.143385956,309752.5375798277,516545.6187887119,490304.47195913416,1670041.5064963899,1092014.5942022088,1500761.8122200447,583529.0411452045,615704.2342439317,332130.05834169884,758757.4113665944
2012-08-10,47538985.7354472,30755868.055993453,13861536.591839941,2921581.0876137894,1622636.438878808,1897449.076969624,429700.29275138647,2242864.128463196,331438.07344988774,1550974.5910175915,713079.0598387633,894542.798589476,566891.6939554662,1965961.5350608057,1427822.1070672239,995862.1382231413,2077937.4275319339,1595164.8691652764,595875.651876501,546097.5376225046,895237.773347963,975961.1420023065,1360082.9511720906,2147056.833453202,716089.1461350119,978584.8633619539,1392552.6909062231,1442998.1072330293,699414.713107898,1127661.1376620878,1725336.7303732685,1238106.512797164,489822.43090143276,414045.8150199927,1438461.6972135135,1235968.7570838185,302060.0903087345,1014436.9936608424,830713.6357525019,306652.6951004868,503899.30334303324,446899.96932579804,1666496.9816531246,986099.7542161468,1455057.3763826902,620864.0476796967,614737.5371978846,321134.41504735453,738254.2135462115
2012-08-17,48212502.16631991,31220478.919954855,14086278.519339107,2905744.7270258977,1625957.9269838962,1929083.9003100793,428855.23378786916,2368804.7203896255,341564.53470988816,1556838.944584924,688495.6913857884,929893.8167668448,585243.294092163,2000270.9651189786,1553239.4434081332,1005227.9636012401,2195724.6147095985,1568305.8069362375,608660.5910117946,537731.0663019564,880562.2309267356,1001243.6245246894,1388159.3800076675,2080494.9669167676,752037.091090226,1005494.0034593274,1474096.1010224246,1391605.4618935052,720890.943049469,1060174.0976423677,1766310.0065353494,1220622.8430098055,515395.7553556468,423313.827784232,1481079.562136277,1248268.4493397202,267839.6103307587,1029856.3088713312,810446.4630664034,300384.9474912706,515871.18939883326,424344.7459484172,1779093.7536526509,969898.9356951496,1508841.422342785,563159.9432885156,650712.9353300892,328342.0852757812,730062.9668345234
2012-08-24,48685854.249922924,31040691.665059254,14819640.409118988,2825522.1757446146,1569376.802104941,1910102.2134572258,444209.75324279565,2133418.547547425,372798.2627692786,1492785.8700522247,695271.768225458,956810.6072265923,610332.3635622951,1797595.0069338281,1385064.0356397675,1081514.5679835037,2150670.7923089014,1912103.3344059368,640161.9727239846,579662.5461828873,950976.4367573094,1123868.7139089548,1553241.1041026888,2035389.087348098,770684.025585851,1096754.198037879,1636403.2880277734,1448598.4852869033,781344.2820983789,1111964.9820035887,1878989.1927827683,1186861.6873540555,642324.0745246765,389220.1552594918,1423778.5298254862,1220210.8502668417,271587.9069925817,927479.3796623503,819924.3572727754,296155.48242306535,529595.5823717623,430163.85005221335,1733390.4294209837,1007611.0300744501,1435101.3147722569,541898.9144428627,583843.39427315,350800.2793451041,775814.7912813778
2012-08-31,46685771.24482714,30293767.401571695,13524691.346087461,2867312.4971679235,1641588.020733863,1888468.108939729,410256.76985461626,2209953.6245135213,338106.1467013755,1540534.863997982,619596.6434981304,922797.423834967,568533.4347056397,1785477.9443244562,1364736.6279911485,1074857.0865343262,2054256.577663093,1447203.5911008234,600476.367904672,537766.46030811,909206.2413736098,844135.6935799894,1602113.903966064,2227914.8378215004,657253.5463069786,1001184.3044883572,1444071.6754070276,1237153.30747781,712111.2767315138,1074612.1959380147,1615087.1151064597,1402048.8236072033,501182.6658570599,373101.97987492493,1379975.7494978409,1175252.7740303327,260004.3534948973,997950.0279878422,759523.635007596,285838.61715818197,535150.3107620052,447840.71250004054,1611715.6616370324,978775.3993636293,1375785.795709635,560283.9224066914,609637.254707122,341298.31691711105,760951.4535040238
2012-09-07,48032053.68221422,31030173.00561147,14045440.651489288,2956440.025113436,1639355.0584742955,1835098.7757712556,441859.64944084716,2232932.0141061004,373580.3886823074,1548213.8282455092,667790.3544438387,887292.699095595,589708.4355928343,1731955.4406054644,1323654.586296476,976165.1181541813,1982478.0260697755,1860315.3597839386,626300.9903336362,565393.189669214,1216654.3919888295,985836.1885798685,1566973.986235935,2143552.9469085876,659200.1115469591,968417.4862094095,1401215.3756602935,1568057.4100636437,717906.4329440712,1111929.772373552,1826162.7589160898,1346763.8450323974,533564.0571653049,375309.10315223126,1381504.4965889924,1159525.339139455,310554.87764933537,991821.78434488,834408.8681726443,295058.64894175093,511421.5735199222,469056.0802890933,1583446.5776702133,1054168.4914095537,1381311.722494023,627869.3093960121,643918.7620737306,328865.19668241777,755484.1722995999
2012-09-14,45077759.20943575,29103151.14877433,13035977.387109648,2938630.673551753,1609888.8817132472,1777079.4358214345,419631.1773631027,2212746.4090285883,311732.23750512965,1414108.2081985099,593988.7716757121,907182.7478849825,538627.012256658,1690805.245253859,1341570.6632123026,919625.2520363083,2030887.0406639695,1532368.7197321728,558552.8542108944,521655.1673081181,1173215.2199934588,919949.2667791621,1363424.732572921,2069950.3888146202,640103.5338972834,931617.1374809357,1255854.0747757312,1269545.517014446,652070.8648782001,991389.8080378494,1579321.481314888,1185349.7970874573,480440.6937015706,382303.9898576214,1365682.9559821135,1171373.2045658312,288871.3813858587,963837.7271425314,701416.8874597347,289066.6976961125,513677.5612596978,480604.9592541237,1524636.888493479,920147.7963310872,1294720.6660798213,605940.2587688897,625599.5507629141,330504.3536484777,726691.9905338014
2012-09-21,43999223.51900748,28290359.649826754,12829111.911260787,2879751.957919917,1477097.564933213,1752135.3853193389,416918.5016584157,2169270.344333126,330790.8511247484,1398826.0726866098,584296.105118719,843241.639482995,557302.2771776625,1728184.640125223,1306767.902829311,909903.8654342978,1955781.2062348488,1531932.746766048,545779.7526294619,509037.83084109146,982284.1725940048,917349.8822117985,1298619.2247729662,1974949.6477285728,650510.4343036324,921013.7600413153,1253595.0760967263,1270950.036057964,650779.2655972327,963810.4359836967,1565019.661253529,1143601.3178366965,489149.26081396727,395497.75610653404,1341659.063194489,1145236.5369114329,261519.0634092477,942487.0724546207,670638.5715266576,279004.1079168103,520661.7093985992,466412.9094718792,1491016.966025125,906419.7120485638,1271013.9416474348,564100.2488492854,595848.4796370822,337230.8544565097,711577.6639658457
2012-09-28,43474965.92541031,28062051.341667794,12665661.599315403,2747252.984427099,1494301.928151717,1743174.4512790348,419003.35722744215,2068005.9366236192,329822.7777938283,1373562.3107972273,538603.3373328889,847528.596288204,543752.623567739,1671309.969623425,1264356.8727541466,903710.4976073012,1944030.28944572,1475725.854146624,550638.0693750646,467683.3183726331,953928.683006342,913609.8366532641,1330740.4394207327,2039735.930545698,643457.2860738557,933826.9996441334,1259524.332433142,1287177.1505226796,669422.4901717808,1000829.4600737678,1545115.8571632176,1109452.184480782,462284.083803192,391100.2310682119,1288826.0930233388,1119133.750364848,257698.0014534357,926498.5423569696,689476.6186232108,277015.90244826896,520474.2444130138,375474.7361843267,1466037.3338812995,943432.0894367258,1259672.3670096186,543740.8440169614,583824.9250570785,332638.0036874806,715607.3180061701
2012-10-05,48484661.61864573,31576411.756928734,13761473.67881988,3146776.1828970895,1724938.0689273202,1915374.8912148422,461966.0173037925,2303050.7150345817,353496.8660097412,1541419.5464203728,582012.8977379074,964681.9644413783,605683.9612394013,1838470.7674943693,1416005.4479872028,996096.81309956,2174852.5753128827,1736332.6890210402,584167.5309736184,485590.43688610283,1028140.2315496423,1029550.8687996467,1457565.7655564072,2222833.3427434703,655825.027833823,1008009.1554861859,1373136.6063780745,1443508.957943198,709232.9355339486,1168187.3126056364,1633674.1847352441,1630968.5705232164,537766.1349313116,423156.15192617977,1418391.7024990993,1177104.9589025741,287053.5164284079,1000426.1304048367,749690.5716534479,288954.9908610438,528510.2709309752,532863.5423859193,1594443.4741234924,1101756.4170083618,1374886.5342339822,679687.1020371433,639253.881843173,343305.2337736702,762636.8559093191
